id	tweetString	tweetWordArray	taggedLanguages
0	Bambino :D	Bambino :D 	0 0 
1	@Audreyy_torres mhmmm -.-	@Audreyy_torres mhmmm -.- 	0 0 0 
2	Ummm...	Ummm ... 	0 0 
3	Ummm	Ummm 	0 
4	@Monimaravilla19 *jk	@Monimaravilla19 * jk 	0 0 0 
5	Ewwww	Ewwww 	0 
6	@Audreyy_torres whoaaaa lol	@Audreyy_torres whoaaaa lol 	0 0 0 
7	@sanluispotoyees .?..	@sanluispotoyees .?.. 	0 0 
8	@Yessy1584G -.-	@Yessy1584G -.- 	0 0 
9	@sanluispotoyees *183... -.-	@sanluispotoyees * 183 ... -.- 	0 0 0 0 0 
10	Work Tomorrow! 10 days till payday!;)	Work Tomorrow ! 10 days till payday ! ;) 	1 1 0 0 1 1 1 0 0 
11	Today was fun!	Today was fun ! 	1 1 1 0 
12	Tired.	Tired . 	1 0 
13	@Damaariz_ lmfao xD	@Damaariz_ lmfao xD 	0 1 0 
14	@Damaariz_ #stopmexicangirls2014 lol	@Damaariz_ #stopmexicangirls2014 lol 	0 1 1 
15	Anyone can tell you what you Need to be... but it's up to you to choose what You Want to be:)	Anyone can tell you what you Need to be ... but it 's up to you to choose what You Want to be :) 	1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
16	Might not be continuing w school but I'm happy w my life:) college ain't for everybody I'm more of a hands on laborer kind of person!	Might not be continuing w school but I 'm happy w my life :) college ai n't for everybody I 'm more of a hands on laborer kind of person ! 	1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
17	Been there done that... lol	Been there done that ... lol 	1 1 1 1 0 1 
18	@Monimaravilla19 MY NIGGAAA	@Monimaravilla19 MY NIGGAAA 	0 1 0 
19	Sometimes I wish life had been easy.. but then again.. if it was.. I wouldn't be who I am today! I'd be an arrogant obnoxious asshole! :)	Sometimes I wish life had been easy .. but then again .. if it was .. I would n't be who I am today ! I 'd be an arrogant obnoxious asshole ! :) 	1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 
20	Their parents are so connected they'll reinstate them into college or find them a badass high paying job..	Their parents are so connected they 'll reinstate them into college or find them a badass high paying job .. 	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
21	But little did you know.. that happiness.. it was just a front they put on to distract the real struggle in life..	But little did you know .. that happiness .. it was just a front they put on to distract the real struggle in life .. 	1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
22	It's funny as a kid you wanted to be all grown up.. you wanted a job, a car, a house, a family because you saw how happy the adults were..	It 's funny as a kid you wanted to be all grown up .. you wanted a job , a car , a house , a family because you saw how happy the adults were .. 	1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 
23	@Jason100Fires she's feelinh down tell her she'll feel better at least one hit lmfao xD	@Jason100Fires she 's feelinh down tell her she 'll feel better at least one hit lmfao xD 	0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
24	@Jason100Fires get her high lmao	@Jason100Fires get her high lmao 	0 1 1 1 1 
25	@_shedopeee but you do that's why you replied lol	@_shedopeee but you do that 's why you replied lol 	0 1 1 1 1 1 1 1 1 1 
26	@_shedopeee lol EXACTLY! /.- ur too slow to get what I said lol jk	@_shedopeee lol EXACTLY ! / . - ur too slow to get what I said lol jk 	0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 
27	@Monimaravilla19 and got us to chill against one another:) he was kind of inspiring in some aspects:)	@Monimaravilla19 and got us to chill against one another :) he was kind of inspiring in some aspects :) 	0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 
28	@Monimaravilla19 I think anyone who got to meet him misses him.. he was so kind and respectful to everybody:)	@Monimaravilla19 I think anyone who got to meet him misses him .. he was so kind and respectful to everybody :) 	0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 
29	Ohhh sheeeettttt nouuuu not this oneeee:((((((	Ohhh sheeeettttt nouuuu not this oneeee :(((((( 	1 1 1 1 1 1 0 
30	This is why I don't tell you nothin.. swear you take everything the wrong way... lighten up.. get that stick outta ur ass...	This is why I do n't tell you nothin .. swear you take everything the wrong way ... lighten up .. get that stick outta ur ass ... 	1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 
31	My GF got it in the bag! I ain't goin nowhereees!!! Even if I tried (I won't of course) specially since my gf swore shed cut my 8==D Off '0'	My GF got it in the bag ! I ai n't goin nowhereees !!! Even if I tried ( I wo n't of course ) specially since my gf swore shed cut my 8 ==D Off ' 0 ' 	1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 0 0 
32	Giving someone a smile! That's all that matters!! It goes a long way!!:) Smiling is contagious:D	Giving someone a smile ! That 's all that matters !! It goes a long way !! :) Smiling is contagious :D 	1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0
