SentenceLength;Accuracy;Tweets;relOtherAmount;relLanguages
3;0.363218390805;145;0.390804597701;0.195402298851
4;0.470379146919;211;0.252369668246;0.428909952607
5;0.566037735849;265;0.230943396226;0.515471698113
6;0.571271929825;304;0.211074561404;0.577302631579
7;0.61235733963;363;0.18968909878;0.632821723731
8;0.639331210191;314;0.178742038217;0.669187898089
9;0.638383838384;275;0.177373737374;0.686464646465
10;0.655172413793;261;0.165517241379;0.709578544061
11;0.689177489177;210;0.158008658009;0.730735930736
12;0.667028985507;230;0.153623188406;0.746739130435
13;0.683382915427;181;0.147896302592;0.749256268593
14;0.675170068027;168;0.15518707483;0.759353741497
15;0.702830188679;212;0.146855345912;0.771383647799
16;0.682083333333;150;0.141666666667;0.775416666667
17;0.710139318885;152;0.134674922601;0.792569659443
